GENDER	POVRTY	RACE	KINDER1	FMOTOR	GMOTOR	SCONTROL	INTERP	EXTERN	INTERN	GENERAL	MATH7	MOM_ED
2	2	1	1	3	8	3.5	3.8	1	1	24	1.32	6
1	2	1	1	8	6	2	1.8	3	1.5	15	1.82	5
2	2	1	1	5	8	4	4	1.2	1	23	1.28	5
2	2	1	1	8	8	2.5	2	1.6	1.25	26	2.05	3
1	2	1	1	5	8	2	2	2.4	1.5	22	1.28	5
2	2	1	1	9	8	3.75	3.8	1	1.25	29	1.9	3
2	2	1	1	8	7	3.5	3.6	1	1	35	1.41	3
2	2	1	1	7	5	3.5	2.2	1	3.75	33	1.46	3
2	2	1	1	4	8	3.5	3.2	1	1.25	33	1.84	7
2	2	1	1	7	8	2	2	2.8	1.5	28	1.66	5
1	2	1	1	7	6	2.25	2.2	2.2	2	33	1.68	6
1	2	1	1	5	0	3.5	3.2	1	1	28	1.94	6
2	2	1	1	7	8	3.5	2.8	1.6	1.25	34	2.11	6
1	2	1	1	4	7	3.25	3.2	2	2.5	19	1.28	3
1	2	1	1	7	4	3	3.2	2	1	31	1.75	3
1	2	4	2	1	8	3	2.8	1	1	15	1.48	2
2	1	2	1	2	6	3.25	3	1	1.5	18	0.35	3
1	2	3	1	3	7	3	3	1.2	1	15	1.01	3
2	2	1	1	7	8	3.5	3.2	1	1	32	1.1	3
1	2	1	1	4	5	3	3	1	1.25	18	1.67	5
2	2	1	1	2	8	3.5	3.2	1	1.25	26	1.96	3
2	2	1	1	8	8	3.25	3.4	1.2	1.75	27	1.77	3
2	1	2	1	4	7	2.75	2.6	2	2	13	0.84	3
2	2	2	1	1	6	3.25	3.2	1.4	1.25	29	1.36	5
2	2	1	1	7	1	3	2.8	1.4	1.25	21	1.55	3
1	1	4	2	9	7	3	3	1.6	1.25	15	1.4	3
1	1	1	2	1	3	3.75	2.6	1.6	1.25	17	1.68	3
1	1	2	1	3	6	3.75	3.6	1.6	1.25	17	1.17	3
1	2	2	1	5	6	2	2.2	2.2	1.5	16	1.45	3
2	1	2	2	6	7	2	2	2.4	1.25	30	2.06	6
1	2	1	2	8	7	2	1.8	1.8	1	16	0.78	5
1	1	3	1	3	8	1.5	1.6	3.8	3.5	11	0.77	5
2	2	3	1	8	5	3	2.2	1.2	1.67	15	0.9	5
2	2	1	1	7	8	2.75	2.4	1.4	2.25	20	1.16	5
2	1	1	1	4	8	3.5	4	1.2	1.5	18	0.84	3
2	2	1	1	8	7	3.5	3.8	1.4	1	31	1.65	3
1	1	2	1	7	8	3.5	3	2	2	25	1.88	5
1	2	1	1	6	8	3	3.2	1	1.5	16	1.96	6
1	2	1	1	4	2	3.25	3.6	1.4	1.75	33	1.89	7
2	2	1	1	6	8	3.5	3.4	1.4	1.25	41	1.78	5
1	2	1	1	8	5	3.5	3.2	1.6	1.25	34	1.88	8
1	2	1	1	3	4	3	2.8	1.8	1.5	31	2.29	6
2	2	1	2	7	8	2.75	3	1.6	1.25	35	1.34	5
1	2	1	1	6	8	2.5	2.8	1.6	1.25	35	1.64	5
2	2	1	1	8	8	3	2.5	1.6	2	33	1.51	6
2	2	1	1	7	6	3.67	3.5	1.2	1.25	32	1.19	8
1	2	1	1	5	6	3	2.25	2	1.75	36	1.79	8
1	2	1	2	6	6	2	2.4	1.2	1.25	18	2.23	7
1	2	2	2	7	3	2	2.4	1.8	1.25	28	2.06	3
2	1	3	2	7	8	3.25	2.8	1.2	1.5	14	1.24	1
2	1	3	2	5	8	3.5	3.2	1	1.25	29	1.83	5
1	2	1	1	4	6	2.75	2.8	1.2	2	26	0.79	3
2	2	1	1	5	8	2.25	3	2.2	1.5	27	1.34	6
2	2	1	1	7	8	2.75	3.2	2	1.5	30	1.15	6
1	2	1	1	3	2	2	2.2	3.4	1.5	17	1.36	3
2	2	1	1	9	4	3	3.2	1.8	1.25	29	1.84	8
1	2	1	1	9	8	3	3	1.6	2	30	1.65	8
2	2	1	1	7	8	2.75	2.8	1.6	2.25	33	1.66	5
1	2	1	1	4	4	2.25	2.8	1.6	2	29	0.74	6
2	2	1	1	6	5	2.25	3.4	3.2	2	25	1.22	8
1	2	1	1	8	5	3	3	2	1.5	23	1.74	8
2	1	4	2	6	8	2	1.2	2.6	2	21	1.24	5
1	2	4	1	5	6	2.5	2.4	1.4	1.5	23	2.39	3
1	2	3	1	8	8	2.75	3	1.4	1	22	1.64	3
2	2	3	2	5	3	3.25	2.8	1	1.25	23	1.28	2
2	2	3	2	8	7	2	2.2	2.4	1.75	13	1.53	5
2	2	4	2	8	8	2	2.4	1.8	2	30	2.38	5
2	2	1	1	7	5	3.67	2.6	1	1.5	19	0.97	5
2	2	1	1	8	8	4	3.8	1	1.25	28	1.88	4
2	1	3	1	6	8	3.5	3.8	1.4	1	11	1.49	1
1	2	1	1	8	8	3.25	4	1	1	37	2.02	5
1	2	1	1	7	8	3.5	3.8	1	1.5	38	2.06	6
2	2	1	1	4	6	2.5	2.2	2.2	1.75	12	1.17	6
2	2	1	1	7	8	4	4	1	1	42	2.03	3
1	2	3	1	6	5	3.75	3.6	1	1.5	40	1.95	9
1	2	1	1	6	1	3.5	3.4	1	1	34	1.09	3
2	2	1	1	7	8	1.75	1.8	3.4	1.25	35	1.54	6
2	2	1	1	7	8	4	3.8	1	1	32	2.41	6
